id_transaccion,id_cliente,monto,fecha,id_tienda,nombre,edad,ciudad,pais,preferencias,puntos_lealtad,gastos_mensuales,ingresos,lat,lon,segmento_cliente,PC1,PC2,PC3
1,1310,601.09,2023-10-09,8,Ricardo Pérez,19,Ciudad de México,Mex,"['Ropa', 'Hogar']",0.23626153229041316,0.7111067113895507,0.11761871495416658,32.528774,-106.195429,Premium Joven,-0.5327972235099965,-0.18945363870598864,-0.558912559178701
2,458,740.71,2023-04-15,18,Patricia Ruiz,43,Hermosillo,MEXICO,['Alimentos'],0.44624949859606894,0.5879880744690015,0.034223737501958174,15.56128,-88.037521,Premium Adulto,-0.49962648704479684,0.17459495078983056,-0.13943241193738143
3,179,2972.94,2023-02-02,1,Luis Morales,20,Veracruz,Mexico,"['Juguetes', 'Alimentos']",0.6598475732049739,0.6328746623606535,0.13731643151533152,16.975801,-97.974557,Premium Joven,0.15927681135244354,-0.6093843448811772,-0.09503012192683591
4,192,1132.26,2024-06-01,20,Sofía Vargas,36,Veracruz,MEX,['Belleza'],0.11572402727637385,0.8190484516479886,0.6596380574296599,27.135066,-102.393799,Premium Adulto,-0.3829850749964305,0.4859759051222481,-0.4322897448146821
5,55,2828.16,2024-10-27,18,Laura Reyes,45,Tijuana,Mex,['Electrónica'],0.48555956678700357,0.9522001679036599,0.10993602589146477,29.160755,-104.450683,Premium Adulto,0.08945644960589694,0.35967924749678626,-0.11858789878527443
6,860,1141.18,2024-08-26,9,Claudia Reyes,66,Monterrey,Mex,"['Ropa', 'Belleza', 'Juguetes']",0.9783393501805054,0.9608923320995543,0.4232558431479807,30.163378,-96.049554,Premium Adulto,-0.4021343162082315,0.014740791755855409,0.636311423873233
7,14,3806.1,2023-06-13,14,Elena Flores,69,Ciudad de México,MEX,"['Electrónica', 'Deportes', 'Ropa']",0.8720417168070598,0.2680056105020783,0.4635388447426926,27.837258,-116.851007,Regular Adulto,0.3442726099425868,0.32254228544761676,0.46832717483649433
8,697,1425.46,2023-08-09,11,Jorge Castillo,54,Veracruz,Mexico,"['Electrónica', 'Alimentos']",0.9749298034496591,0.14516081339423806,0.05307982654086148,31.879674,-99.602792,Regular Adulto,-0.3420584285952966,0.03571919165785853,0.360471557763256
9,210,509.09,2023-04-10,12,Gabriela Castillo,55,Puebla,Mex,['Ropa'],0.8301243481748897,0.8645110030893759,0.5232443178456686,22.310789,-99.368472,Premium Adulto,-0.5686536966474536,0.11252925753200138,0.3892851829845796
10,705,3038.44,2023-02-14,15,Carlos Flores,62,Hermosillo,méxico,['Hogar'],0.9488567990373045,0.06443720775956609,0.04424994921788872,29.108131,-104.804341,Regular Adulto,0.1143505161118229,0.24870504859273646,0.3892333869516784
11,1099,667.89,2024-01-23,3,Gabriela Gutiérrez,61,Culiacán,méxico,['Electrónica'],0.49277978339350176,0.374913701890009,0.9397137211061137,28.124707,-98.371608,Regular Adulto,-0.5300744454909387,-0.2661081474045278,0.3000501956013333
12,1131,1501.23,2024-10-05,20,Fernando Reyes,69,Mérida,méxico,"['Electrónica', 'Belleza']",0.3884877657440834,0.919236539744699,0.5362310498588851,22.452115,-98.089848,Premium Adulto,-0.28979138099390395,0.4883067521396913,0.15287434826284008
13,741,2907.89,2024-12-22,3,Mónica Ruiz,33,Cancún,mx,"['Hogar', 'Ropa', 'Juguetes']",0.9630966706778981,0.040798275194869824,0.9104274337986235,26.615548,-90.059999,Regular Adulto,0.10611641148897721,-0.2862072858636396,0.3746031183832885
